snapshot_ts,OBJECTID,snowrouteid,snowroutesegmentid,roadname,routepriority,roadclass,segmentlength,servicestatus,lastserviced,lastserviceleft,lastserviceright,passes,passesleft,passesright,eventid,eventphaseid
2025-12-26T19:01:45.962242+00:00,16071,Route 35,SNW-1138,ASHDALE AV,Priority 2,,0.17386256109486,Not Serviced,1766380125000,1766380125000,1766379996000,24,12,12,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16072,Route 2,SNW-1928,BASIN ST,Priority 2,,0.0819500095971925,Not Serviced,1765767649000,1765767649000,1765767510000,16,5,11,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16073,Route 35,SNW-1139,FOBES AV,Priority 2,,0.163411046718119,Not Serviced,1766382615000,1765767848000,1766382615000,23,12,11,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16074,Route 3,SNW-2247,E FAYETTE ST,Priority 1,,0.162505765446895,Not Serviced,1766483565000,1766482766000,1766483565000,105,57,48,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16075,,SNW-1929,BOYDEN ST,Priority 2,,0.103739694585659,Not Serviced,1762825723000,1762825659000,1762825723000,2,1,1,ab0df3e4-3af3-42b9-b403-fa75d2d30acc,No Phase
2025-12-26T19:01:45.962242+00:00,16076,Route 2,SNW-1140,BEACON RD,Priority 2,,0.0699790469073989,Not Serviced,1766383019000,1766383019000,1766382971000,30,15,15,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16077,Route 28,SNW-1930,HIXSON AV,Priority 2,,0.0529712253733478,Not Serviced,1766400136000,1766398455000,1766400136000,31,15,16,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16078,Route 3,SNW-2248,BEATTIE ST,Priority 2,,0.0618413394156476,Not Serviced,1766482185000,1766482185000,1766481823000,113,58,55,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16079,Route 2,SNW-1931,BEECHER ST,Priority 2,,0.111618859559043,Not Serviced,1766387651000,1766387651000,1765769848000,25,11,14,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16080,Route 35,SNW-1141,COUGHLIN AV,Priority 2,,0.0573832538132144,Not Serviced,1766381846000,1766381846000,1766381587000,24,12,12,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16081,Route 2,SNW-2249,FORMAN AV,Priority 2,,0.0623261759966439,Not Serviced,1766431876000,1766431876000,1765772572000,23,13,10,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16082,Route 31,SNW-1932,CALEB AV,Priority 2,,0.0588769530313269,Not Serviced,1766392566000,1766392566000,1766392257000,31,15,16,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16083,Route 35,SNW-1142,NORWOOD AV,Priority 2,,0.173552129880257,Not Serviced,1766380526000,1766380526000,1766380439000,18,8,10,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16084,Route 30,SNW-1933,ARCH ST,Priority 2,,0.0654043143607783,Not Serviced,1766389400000,1766389084000,1766389400000,37,24,13,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16085,Route 1,SNW-2250,E FAYETTE ST,Priority 1,,0.112170032811128,Not Serviced,1766552187000,1766550860000,1766552187000,84,42,42,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16086,Route 2,SNW-1143,HAZELHURST AV,Priority 2,,0.0587960970745458,Not Serviced,1766383315000,1766382519000,1766383315000,29,16,13,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16087,,SNW-1934,BURNET AV,Priority 1,,0.062773528860017,Not Serviced,1766485518000,1766485518000,1766484754000,110,60,50,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16088,Route 12,SNW-2251,AUDUBON PKWY,Priority 2,,0.0694855954395129,Not Serviced,1766421546000,1766421505000,1766421546000,17,6,11,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16089,Route 30,SNW-1935,BURNS AV,Priority 2,,0.127296031868695,Not Serviced,1766483216000,1766391449000,1766483216000,44,21,23,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16090,Route 35,SNW-1144,COUGHLIN AV,Priority 2,,0.0520602714200471,Not Serviced,1766381861000,1766381861000,1766381577000,24,9,15,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16091,Route 7,SNW-1936,ASH ST,Priority 2,,0.0504397328190306,Not Serviced,1766481608000,1766397986000,1766481608000,32,11,21,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16092,Route 1,SNW-2252,E FAYETTE ST,Priority 1,,0.112236735396232,Not Serviced,1766552205000,1766483028000,1766552205000,71,36,35,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16093,Route 28,SNW-1937,BOYDEN ST,Priority 2,,0.0617174208204956,Not Serviced,1766400159000,1766400159000,1765739935000,30,15,15,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16094,Route 35,SNW-1145,LILLIAN AV,Priority 2,,0.172594079856494,Not Serviced,1766380926000,1766380926000,1766380759000,21,10,11,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16095,Route 10,SNW-1938,GRAVES ST,Priority 2,,0.100691539909978,Not Serviced,1766387683000,1766387683000,1766384179000,28,15,13,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16096,Route 6,SNW-2253,S CROUSE AV,Priority 1,,0.058077620457966,Not Serviced,1766462957000,1766462957000,1766390297000,39,27,12,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16097,Route 10,SNW-1939,HIGHLAND ST,Priority 2,,0.0568088853061301,Not Serviced,1766484114000,1765823409000,1766484114000,35,15,20,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
2025-12-26T19:01:45.962242+00:00,16098,Route 35,SNW-1146,COUGHLIN AV,Priority 2,,0.035375846093327,Not Serviced,1766381873000,1766381873000,1766381564000,24,8,16,0a4138c6-cc5c-4cba-a7b0-3c06695345ef,0a4138c6-cc5c-4cba-a7b0-3c06695345ef-2
